日付,レース,判定,モード,買い目数,投資額,実際,的中,配当,頭1位,頭1位スコア,頭2位,頭2位スコア,展示バフ数,展示デバフ数,展示バフ点,展示デバフ点,1ST補正,まくり補正,買い目
20250103,4,買い,hit,16,1600,5-2-4,False,0,4,101.9,1,71.5,1,1,15,-22,4,5,4-1-5 4-5-1 4-1-2 4-2-1 4-1-3 4-3-1 4-2-5 4-5-2 4-2-3 4-3-2 1-2-4 1-4-2 1-2-5 1-5-2 1-2-3 1-3-2
20250103,9,注意,hit,16,1600,3-1-6,False,0,4,57.7,2,44.9,0,0,0,0,-4,3,4-1-2 4-2-1 4-1-3 4-3-1 4-1-5 4-5-1 2-1-4 2-4-1 2-1-3 2-3-1 2-1-5 2-5-1 2-4-3 2-3-4 2-4-5 2-5-4
20250104,1,買い,hit,16,1600,1-3-4,False,0,5,92.6,2,47.5,0,0,0,0,-14,0,5-4-2 5-2-4 5-4-3 5-3-4 5-4-6 5-6-4 2-5-3 2-3-5 2-5-4 2-4-5 2-5-6 2-6-5 2-4-3 2-3-4 2-4-6 2-6-4
20250104,8,注意,hit,12,1200,2-5-1,False,0,1,131.6,5,48.4,0,0,0,0,28,-10,1-5-6 1-6-5 1-5-4 1-4-5 1-5-2 1-2-5 5-1-6 5-6-1 5-1-4 5-4-1 5-1-2 5-2-1
20250104,11,買い,hit,16,1600,1-3-2,False,0,1,83.8,2,64.4,0,0,0,0,28,-15,1-5-2 1-2-5 1-5-6 1-6-5 1-5-4 1-4-5 2-5-1 2-1-5 2-5-6 2-6-5 2-5-4 2-4-5 2-1-6 2-6-1 2-1-4 2-4-1
20250105,1,注意,hit,20,2000,1-2-4,False,0,3,43.2,4,31.1,0,0,0,0,-24,-10,3-6-4 3-4-6 3-6-1 3-1-6 3-6-2 3-2-6 3-1-4 3-4-1 3-1-2 3-2-1 4-6-3 4-3-6 4-6-1 4-1-6 4-6-2 4-2-6 4-1-3 4-3-1 4-1-2 4-2-1
20250105,2,買い,hit,16,1600,1-4-2,False,0,4,90.7,5,63.6,1,1,-5,-3,-43,25,4-3-5 4-5-3 4-3-2 4-2-3 4-3-1 4-1-3 5-4-3 5-3-4 5-4-2 5-2-4 5-4-1 5-1-4 5-3-2 5-2-3 5-3-1 5-1-3
20250105,4,注意,hit,12,1200,2-5-4,False,0,1,83.8,3,75.3,0,0,0,0,28,25,1-3-2 1-2-3 1-3-4 1-4-3 1-3-5 1-5-3 3-1-2 3-2-1 3-1-4 3-4-1 3-1-5 3-5-1
20250105,9,注意,hit,16,1600,1-2-3,True,600,1,103.9,5,46.1,1,1,10,-15,36,-20,1-3-5 1-5-3 1-3-6 1-6-3 1-3-2 1-2-3 5-1-6 5-6-1 5-1-3 5-3-1 5-1-2 5-2-1 5-3-6 5-6-3 5-3-2 5-2-3
20250105,10,買い,hit,16,1600,1-4-3,True,2280,1,77.9,4,55.9,1,1,5,-3,14,-7,1-5-4 1-4-5 1-5-2 1-2-5 1-5-3 1-3-5 1-4-2 1-2-4 1-4-3 1-3-4 4-5-1 4-1-5 4-5-2 4-2-5 4-5-3 4-3-5
20250106,1,買い,hit,16,1600,1-3-6,True,5660,5,72.2,1,53.4,1,1,5,-7,23,10,5-3-1 5-1-3 5-3-2 5-2-3 5-3-6 5-6-3 1-5-3 1-3-5 1-5-2 1-2-5 1-5-6 1-6-5 1-3-2 1-2-3 1-3-6 1-6-3
20250106,4,注意,hit,20,2000,1-4-2,True,3600,3,71.2,1,56.3,1,1,5,-7,19,25,3-2-1 3-1-2 3-2-4 3-4-2 3-2-6 3-6-2 3-4-1 3-1-4 3-4-6 3-6-4 1-2-3 1-3-2 1-2-4 1-4-2 1-2-6 1-6-2 1-4-3 1-3-4 1-4-6 1-6-4
20250106,7,注意,hit,12,1200,1-2-3,False,0,5,84.1,3,74.8,0,0,0,0,-19,22,5-3-4 5-4-3 5-3-2 5-2-3 5-3-1 5-1-3 3-5-4 3-4-5 3-5-2 3-2-5 3-5-1 3-1-5
20250106,8,注意,hit,16,1600,1-2-4,False,0,4,52.0,5,42.0,1,1,0,-7,-50,-5,4-2-5 4-5-2 4-2-6 4-6-2 4-2-1 4-1-2 5-4-2 5-2-4 5-4-6 5-6-4 5-4-1 5-1-4 5-2-6 5-6-2 5-2-1 5-1-2
20250106,12,買い,hit,16,1600,1-3-4,False,0,1,74.1,6,42.8,0,0,0,0,4,-20,1-2-6 1-6-2 1-2-5 1-5-2 1-2-3 1-3-2 6-1-5 6-5-1 6-1-2 6-2-1 6-1-3 6-3-1 6-2-5 6-5-2 6-2-3 6-3-2
20250107,1,注意,hit,16,1600,3-1-2,False,0,4,65.8,1,50.0,0,0,0,0,13,20,4-3-1 4-1-3 4-3-2 4-2-3 4-3-6 4-6-3 1-4-2 1-2-4 1-4-3 1-3-4 1-4-6 1-6-4 1-3-2 1-2-3 1-3-6 1-6-3
20250107,4,注意,hit,12,1200,1-2-5,False,0,5,33.5,2,19.7,0,0,0,0,-33,-20,5-2-6 5-6-2 5-2-4 5-4-2 5-2-1 5-1-2 2-5-6 2-6-5 2-5-4 2-4-5 2-5-1 2-1-5
20250107,5,買い,hit,16,1600,1-4-3,True,1490,1,67.7,2,29.0,0,0,0,0,19,-10,1-4-2 1-2-4 1-4-3 1-3-4 1-4-6 1-6-4 2-1-4 2-4-1 2-1-3 2-3-1 2-1-6 2-6-1 2-4-3 2-3-4 2-4-6 2-6-4
20250107,7,買い,hit,16,1600,1-3-2,False,0,5,51.3,3,32.3,1,1,5,-7,-20,-10,5-3-4 5-4-3 5-3-2 5-2-3 5-3-1 5-1-3 5-4-2 5-2-4 5-4-1 5-1-4 3-4-5 3-5-4 3-4-2 3-2-4 3-4-1 3-1-4
20250107,8,買い,hit,12,1200,1-2-4,True,750,1,85.9,2,42.5,0,0,0,0,18,11,1-2-5 1-5-2 1-2-4 1-4-2 1-2-3 1-3-2 2-1-5 2-5-1 2-1-4 2-4-1 2-1-3 2-3-1
20250107,10,注意,hit,12,1200,1-2-3,True,680,1,76.4,2,64.8,0,0,0,0,28,13,1-2-5 1-5-2 1-2-4 1-4-2 1-2-3 1-3-2 2-1-5 2-5-1 2-1-4 2-4-1 2-1-3 2-3-1
20250107,11,買い,hit,16,1600,2-5-6,False,0,1,95.9,5,66.7,1,1,-12,-5,28,-10,1-2-5 1-5-2 1-2-6 1-6-2 1-2-4 1-4-2 5-2-1 5-1-2 5-2-6 5-6-2 5-2-4 5-4-2 5-1-6 5-6-1 5-1-4 5-4-1
20250108,1,注意,hit,12,1200,1-3-4,False,0,5,42.3,3,30.9,0,0,0,0,-33,-10,5-3-6 5-6-3 5-3-2 5-2-3 5-3-4 5-4-3 3-5-6 3-6-5 3-5-2 3-2-5 3-5-4 3-4-5
20250108,3,買い,hit,16,1600,2-1-3,False,0,4,58.7,2,42.3,0,0,0,0,-24,-10,4-6-2 4-2-6 4-6-3 4-3-6 4-6-1 4-1-6 2-4-6 2-6-4 2-4-3 2-3-4 2-4-1 2-1-4 2-6-3 2-3-6 2-6-1 2-1-6
20250108,5,買い,hit,16,1600,1-4-3,False,0,4,72.2,3,35.3,1,1,3,-7,-9,10,4-5-3 4-3-5 4-5-1 4-1-5 4-5-2 4-2-5 3-4-1 3-1-4 3-4-5 3-5-4 3-4-2 3-2-4 3-5-1 3-1-5 3-5-2 3-2-5
20250108,6,買い,hit,16,1600,5-4-2,False,0,5,71.0,2,52.0,1,1,5,-10,-66,1,5-1-2 5-2-1 5-1-4 5-4-1 5-1-3 5-3-1 2-5-4 2-4-5 2-5-3 2-3-5 2-5-1 2-1-5 2-1-4 2-4-1 2-1-3 2-3-1
20250108,10,注意,hit,12,1200,1-2-3,True,690,1,85.9,2,66.5,0,0,0,0,4,16,1-2-3 1-3-2 1-2-6 1-6-2 1-2-4 1-4-2 2-1-3 2-3-1 2-1-6 2-6-1 2-1-4 2-4-1
20250108,12,注意,hit,16,1600,1-2-4,False,0,1,103.4,5,63.9,1,1,3,-15,4,32,1-3-5 1-5-3 1-3-4 1-4-3 1-3-2 1-2-3 5-1-4 5-4-1 5-1-3 5-3-1 5-1-2 5-2-1 5-3-4 5-4-3 5-3-2 5-2-3
20250111,6,注意,hit,12,1200,3-2-5,True,1490,5,60.6,3,49.7,0,0,0,0,-50,5,5-3-2 5-2-3 5-3-4 5-4-3 5-3-6 5-6-3 3-5-2 3-2-5 3-5-4 3-4-5 3-5-6 3-6-5
20250111,8,注意,hit,12,1200,3-2-6,True,4370,3,68.2,6,56.3,1,1,12,-25,-24,17,3-6-4 3-4-6 3-6-2 3-2-6 3-6-1 3-1-6 6-3-4 6-4-3 6-3-2 6-2-3 6-3-1 6-1-3
20250111,10,買い,hit,20,2000,1-2-6,True,4270,1,83.8,3,57.0,0,0,0,0,28,15,1-6-5 1-5-6 1-6-2 1-2-6 1-6-4 1-4-6 3-1-5 3-5-1 3-1-6 3-6-1 3-1-2 3-2-1 3-1-4 3-4-1 3-6-5 3-5-6 3-6-2 3-2-6 3-6-4 3-4-6
20250112,1,注意,hit,12,1200,1-5-3,False,0,5,31.6,2,20.4,0,0,0,0,-66,-32,5-2-3 5-3-2 5-2-1 5-1-2 5-2-4 5-4-2 2-5-3 2-3-5 2-5-1 2-1-5 2-5-4 2-4-5
20250112,4,買い,hit,16,1600,2-1-3,False,0,5,78.6,2,48.2,1,1,10,-15,-15,1,5-4-2 5-2-4 5-4-6 5-6-4 5-4-1 5-1-4 2-5-6 2-6-5 2-5-4 2-4-5 2-5-1 2-1-5 2-4-6 2-6-4 2-4-1 2-1-4
20250112,8,注意,hit,12,1200,3-4-2,False,0,4,54.6,2,29.0,1,1,0,-10,-9,-5,4-2-6 4-6-2 4-2-5 4-5-2 4-2-1 4-1-2 2-4-6 2-6-4 2-4-5 2-5-4 2-4-1 2-1-4
20250113,1,注意,hit,16,1600,1-2-3,False,0,3,20.7,2,8.1,0,0,0,0,-27,-30,3-6-2 3-2-6 3-6-1 3-1-6 3-6-4 3-4-6 3-2-1 3-1-2 3-2-4 3-4-2 2-6-3 2-3-6 2-6-1 2-1-6 2-6-4 2-4-6
20250113,2,買い,hit,12,1200,1-2-5,False,0,1,67.2,4,38.9,0,0,0,0,24,-8,1-4-6 1-6-4 1-4-2 1-2-4 1-4-3 1-3-4 4-1-6 4-6-1 4-1-2 4-2-1 4-1-3 4-3-1
20250113,3,注意,hit,16,1600,2-3-6,False,0,3,43.2,1,29.4,0,0,0,0,4,-15,3-5-1 3-1-5 3-5-2 3-2-5 3-5-6 3-6-5 1-5-3 1-3-5 1-5-2 1-2-5 1-5-6 1-6-5 1-3-2 1-2-3 1-3-6 1-6-3
20250113,4,買い,hit,16,1600,2-1-5,True,1090,5,36.6,2,19.0,1,1,-10,-3,-21,-12,5-1-2 5-2-1 5-1-6 5-6-1 5-1-3 5-3-1 2-5-6 2-6-5 2-5-3 2-3-5 2-5-1 2-1-5 2-1-6 2-6-1 2-1-3 2-3-1
20250113,7,買い,hit,20,2000,4-3-2,True,41140,5,48.0,4,12.1,0,0,0,0,-19,-25,5-3-4 5-4-3 5-3-2 5-2-3 5-3-1 5-1-3 5-1-4 5-4-1 5-1-2 5-2-1 4-3-5 4-5-3 4-3-2 4-2-3 4-3-1 4-1-3 4-1-5 4-5-1 4-1-2 4-2-1
20250113,12,注意,hit,16,1600,1-4-6,False,0,4,73.6,5,62.5,0,0,0,0,-7,12,4-1-5 4-5-1 4-1-6 4-6-1 4-1-3 4-3-1 5-4-1 5-1-4 5-4-6 5-6-4 5-4-3 5-3-4 5-1-6 5-6-1 5-1-3 5-3-1
20250114,2,買い,hit,12,1200,4-5-1,True,1210,5,34.9,4,17.6,1,1,15,-22,-28,-35,5-4-2 5-2-4 5-4-1 5-1-4 5-4-3 5-3-4 4-5-2 4-2-5 4-5-1 4-1-5 4-5-3 4-3-5
20250114,3,買い,hit,12,1200,2-5-3,False,0,5,60.1,3,23.5,0,0,0,0,-18,-10,5-3-6 5-6-3 5-3-1 5-1-3 5-3-4 5-4-3 3-5-6 3-6-5 3-5-1 3-1-5 3-5-4 3-4-5
20250114,8,買い,hit,16,1600,3-5-1,False,0,1,93.7,6,30.1,0,0,0,0,36,-20,1-3-6 1-6-3 1-3-5 1-5-3 1-3-2 1-2-3 6-3-1 6-1-3 6-3-5 6-5-3 6-3-2 6-2-3 6-1-5 6-5-1 6-1-2 6-2-1
20250126,2,買い,hit,16,1600,2-5-1,False,0,5,51.8,6,20.7,1,1,3,-10,7,-22,5-2-6 5-6-2 5-2-1 5-1-2 5-2-3 5-3-2 6-5-2 6-2-5 6-5-1 6-1-5 6-5-3 6-3-5 6-2-1 6-1-2 6-2-3 6-3-2
20250126,6,注意,hit,12,1200,3-1-2,False,0,3,58.9,5,45.8,0,0,0,0,-26,-15,3-5-2 3-2-5 3-5-6 3-6-5 3-5-1 3-1-5 5-3-2 5-2-3 5-3-6 5-6-3 5-3-1 5-1-3
