スコア帯,頭艇,レース数,的中数,的中率,投資額,払戻額,回収率
90以上,1号艇,919,273,29.71,1135000,782470,68.94
90以上,3号艇,31,10,32.26,46000,41960,91.22
90以上,4号艇,284,54,19.01,198600,196190,98.79
90以上,5号艇,154,16,10.39,92400,162580,175.95
80-90,1号艇,487,166,34.09,449800,378520,84.15
80-90,3号艇,47,8,17.02,72800,37090,50.95
80-90,4号艇,253,42,16.6,193200,142830,73.93
80-90,5号艇,144,15,10.42,86400,63710,73.74
70-80,1号艇,570,166,29.12,515800,386140,74.86
70-80,3号艇,71,12,16.9,106400,56820,53.4
70-80,4号艇,323,63,19.5,262200,266630,101.69
70-80,5号艇,201,17,8.46,120600,94180,78.09
60-70,1号艇,516,159,30.81,454400,344570,75.83
60-70,3号艇,146,31,21.23,224000,208550,93.1
60-70,4号艇,454,85,18.72,395800,356840,90.16
60-70,5号艇,269,26,9.67,161400,121790,75.46
60未満,1号艇,976,332,34.02,977000,913690,93.52
60未満,3号艇,461,98,21.26,694400,657350,94.66
60未満,4号艇,960,155,16.15,964200,763950,79.23
60未満,5号艇,502,30,5.98,301200,243590,80.87
